point1,point2,point3,weight
7,2,0,0.106647
3,7,2,0.106714
24,23,22,0.106214
8,12,18,0.106597
8,12,26,0.106633
8,12,30,0.106635
9,12,18,0.106592
9,12,26,0.106631
9,12,30,0.106633
8,18,26,0.106647
8,18,30,0.106649
9,18,26,0.106647
9,18,30,0.106648
12,18,26,0.106524
12,18,30,0.106599
8,26,30,0.106647
9,26,30,0.106646
12,26,30,0.106652
18,26,30,0.106526
4,10,13,0.106654
4,10,16,0.106669
4,13,16,0.106689
4,13,27,0.10668
10,13,16,0.106638
10,13,27,0.106691
13,27,31,0.106452
16,27,31,0.106447
5,11,14,0.106682
5,11,15,0.106682
5,11,17,0.106681
5,11,28,0.10668
6,11,14,0.106681
6,11,15,0.106681
6,11,17,0.10668
6,11,28,0.10668
5,14,17,0.106675
5,14,28,0.106674
5,14,29,0.106674
6,14,17,0.106674
6,14,28,0.106673
6,14,29,0.106673
11,14,17,0.106637
11,14,28,0.106644
11,14,29,0.106645
5,15,17,0.106674
5,15,28,0.106674
5,15,29,0.106674
6,15,17,0.106673
6,15,28,0.106673
6,15,29,0.106673
11,15,17,0.106633
11,15,28,0.106642
11,15,29,0.106643
5,17,28,0.106671
5,17,29,0.106671
6,17,28,0.10667
6,17,29,0.10667
11,17,28,0.106647
11,17,29,0.106646
14,17,28,0.106654
14,17,29,0.106651
15,17,28,0.106657
15,17,29,0.106653
5,28,29,0.106666
6,28,29,0.106664
11,28,29,0.106637
14,28,29,0.106633
15,28,29,0.106634
17,28,29,0.106614
